build_date,analysis_start_date,analysis_end_date,execution_date,execution_price_status,method,lookback_years,invest_ratio,cash_reserve,symbol,name,execution_price,max_drawdown,annual_volatility,drawdown_days,risk_score,price_factor_score,industry_ai_score,macro_external_score,composite_score,trend_strength_score,target_weight,target_value,shares,market_value,buy_commission,buy_tax,total_buy_cost,future_sell_tax_estimate,current_price,current_market_value,unrealized_pnl,unrealized_pnl_pct,remaining_cash
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,0050,元大台灣50,107.6000,0.75276968,0.78686085,232,-1.23635781,-1.76787406,-0.32070111,-0.63638730,-1.23635781,-0.19798965,0.00000000,0.00,119,12804.40,18.00,0.00,12822.40,13.00,107.3000,12768.70,-53.70,-0.004188,152903.88
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,0056,元大高股息,53.6000,0.07973510,0.17079741,56,-0.12426280,0.09177738,-0.57338160,-0.23989217,-0.12426280,-0.11242205,0.07887985,29579.95,371,19885.60,28.00,0.00,19913.60,20.00,52.8000,19588.80,-324.80,-0.016310,152903.88
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,00878,國泰永續高股息,33.2500,0.09375000,0.16854130,51,-0.11723598,0.10762236,-0.57737181,-0.24977632,-0.11723598,0.06818343,0.08362987,31361.20,656,21812.00,31.00,0.00,21843.00,22.00,33.6700,22087.52,244.52,0.011194,152903.88
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,006208,富邦台50,249.2000,0.10585106,0.23699975,42,0.02840524,0.35625720,-0.53980112,-0.33599200,0.02840524,-0.20802103,0.06922810,25960.54,93,23175.60,33.00,0.00,23208.60,23.00,249.1000,23166.30,-42.30,-0.001823,152903.88
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,00713,元大台灣高息低波,59.7500,0.06203704,0.09992715,176,-0.40731694,-0.13795894,-1.14088337,-0.26213826,-0.40731694,-0.81738492,0.07892986,29598.70,406,24258.50,35.00,0.00,24293.50,24.00,61.7000,25050.20,756.70,0.031148,152903.88
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,00881,國泰台灣5G+,56.3000,0.09736361,0.26783416,39,0.37530695,0.40802427,0.99979263,-0.79637181,0.37530695,0.02474640,0.07995391,29982.72,349,19648.70,28.00,0.00,19676.70,20.00,55.4000,19334.60,-342.10,-0.017386,152903.88
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,00919,群益台灣精選高息,30.7200,0.10487805,0.15516915,151,-0.13577105,0.01336122,-0.53676326,-0.06397978,-0.13577105,-0.20435800,0.07879100,29546.62,646,19845.12,28.00,0.00,19873.12,20.00,30.8100,19903.26,30.14,0.001517,152903.88
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2330,台積電,2430.0000,0.12655087,0.29553640,37,0.86618755,0.69701532,1.44789088,0.57337091,0.86618755,-0.51171871,0.08816716,33062.69,9,21870.00,31.00,0.00,21901.00,66.00,2410.0000,21690.00,-211.00,-0.009634,152903.88
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2317,鴻海,312.0000,0.28435115,0.35697376,135,0.19409815,-0.01502200,0.81633354,-0.00648024,0.19409815,0.21148995,0.05003962,18764.86,20,6240.00,8.80,0.00,6248.80,18.80,268.5000,5370.00,-878.80,-0.140635,152903.88
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2454,聯發科,4455.0000,0.25407166,0.51109525,86,0.86572487,0.67796595,1.70741091,0.21395047,0.86572487,2.55785412,0.06237461,23390.48,4,17820.00,25.00,0.00,17845.00,53.00,4390.0000,17560.00,-285.00,-0.015971,152903.88
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2303,聯電,135.0000,0.29658793,0.47528171,132,0.57116133,0.33139768,1.34674958,0.23756881,0.57116133,2.14994262,0.06407958,24029.84,134,18090.00,26.00,0.00,18116.00,54.00,145.5000,19497.00,1381.00,0.076231,152903.88
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2881,富邦金,114.0000,0.12423625,0.21874381,93,-0.06058037,-0.04274012,-0.43780937,0.49677363,-0.06058037,-0.27876806,0.06395527,23983.23,189,21546.00,31.10,0.00,21577.10,64.59,138.0000,26082.00,4504.90,0.208782,152903.88
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2882,國泰金,91.5000,0.12170640,0.25425880,108,-0.11550988,-0.05672049,-0.48629350,0.26730526,-0.11550988,-0.49142864,0.05445338,20420.02,195,17842.50,25.57,0.00,17868.07,53.55,115.5000,22522.50,4654.43,0.260489,152903.88
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,2412,中華電,143.0000,0.06569343,0.12393957,124,-0.21000603,-0.14276299,-0.94767007,0.75046188,-0.21000603,-1.07565281,0.12042774,45160.40,654,93522.00,133.00,0.00,93655.00,281.00,144.0000,94176.00,521.00,0.005563,152903.88
2026-06-03,2025-05-12,2026-06-02,2026-06-03,ready,multi-factor-shrink,1,0.7500,125000.00,1301,台塑,52.5000,0.17889908,0.42287857,70,-0.49384321,-0.52034277,-0.75750233,0.05158690,-0.49384321,-1.11447265,0.02709003,10158.76,157,8242.50,11.73,0.00,8254.23,24.58,51.7000,8116.90,-137.33,-0.016638,152903.88
